CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,BNS,303,1,1
2,BNS,115,1,1
3,BNS,303,1,1
4,IPC,420,1,1
5,BNS,115,1,1
6,NDPS,20,1,1
7,NDPS,20,1,1
8,IT,66D,1,1
9,IPC,307,1,1
10,IT,67,1,1
11,IPC,323,1,1
12,IPC,379,1,1
13,IT,66D,1,1
14,IPC,379,1,1
15,IPC,392,1,1
16,IPC,323,1,1
17,BNS,109,1,1
18,IT,66C,1,1
19,NDPS,20,1,1
20,IT,66C,1,1
21,IPC,307,1,1
22,BNS,115,1,1
23,IPC,392,1,1
24,MV,134,1,1
25,IPC,323,1,1
26,BNS,115,1,1
27,IT,66D,1,1
28,IPC,420,1,1
29,NDPS,21,1,1
30,IPC,354,1,1
31,BNS,303,1,1
32,IPC,379,1,1
33,BNS,309,1,1
34,BNS,303,1,1
35,BNS,336,1,1
36,IT,66C,1,1
37,BNS,303,1,1
38,MV,134,1,1
39,IPC,392,1,1
40,BNS,318,1,1
41,IPC,363,1,1
42,BNS,303,1,1
43,IPC,363,1,1
44,IT,66C,1,1
45,NDPS,20,1,1
46,BNS,74,1,1
47,BNS,303,1,1
48,MV,134,1,1
49,BNS,318,1,1
50,IPC,379,1,1
51,IT,66D,1,1
52,BNS,115,1,1
53,IPC,323,1,1
54,IT,66D,1,1
55,IT,66D,1,1
56,BNS,303,1,1
57,BNS,309,1,1
58,IPC,323,1,1
59,IPC,379,1,1
60,BNS,318,1,1
61,IT,66D,1,1
62,IPC,379,1,1
63,IPC,420,1,1
64,IT,66D,1,1
65,IPC,323,1,1
66,BNS,303,1,1
67,NDPS,20,1,1
68,IT,67,1,1
69,MV,134,1,1
70,BNS,318,1,1
71,IPC,379,1,1
72,IT,66D,1,1
73,BNS,331,1,1
74,IPC,323,1,1
75,BNS,137,1,1
76,IPC,323,1,1
77,IPC,302,1,1
78,IT,66C,1,1
79,IPC,379,1,1
80,IPC,379,1,1
81,IPC,420,1,1
82,BNS,318,1,1
83,BNS,303,1,1
84,BNS,103,1,1
85,IPC,323,1,1
86,IT,66C,1,1
87,BNS,309,1,1
88,IT,66C,1,1
89,IPC,392,1,1
90,IPC,457,1,1
91,BNS,331,1,1
92,IPC,379,1,1
93,IT,66C,1,1
94,BNS,318,1,1
95,IPC,379,1,1
96,IPC,323,1,1
97,IT,66C,1,1
98,IPC,323,1,1
99,IPC,457,1,1
100,IPC,323,1,1
101,BNS,303,1,1
102,IPC,420,1,1
103,BNS,303,1,1
104,BNS,115,1,1
105,IT,66D,1,1
106,IPC,354,1,1
107,IPC,457,1,1
108,IT,66C,1,1
109,IPC,420,1,1
110,IT,66D,1,1
111,IPC,363,1,1
112,IPC,323,1,1
113,IPC,354,1,1
114,MV,134,1,1
115,IPC,457,1,1
116,IPC,323,1,1
117,NDPS,20,1,1
118,BNS,74,1,1
119,IPC,420,1,1
120,BNS,115,1,1
121,IT,67,1,1
122,BNS,336,1,1
123,MV,134,1,1
124,BNS,303,1,1
125,NDPS,21,1,1
126,IPC,323,1,1
127,BNS,303,1,1
128,IT,67,1,1
129,IPC,379,1,1
130,IT,66D,1,1
131,IT,66C,1,1
132,IT,66D,1,1
133,IPC,457,1,1
134,BNS,331,1,1
135,IT,66C,1,1
136,IT,66D,1,1
137,MV,134,1,1
138,BNS,74,1,1
139,IPC,379,1,1
140,NDPS,20,1,1
141,IPC,392,1,1
142,IT,66C,1,1
143,MV,134,1,1
144,IT,66C,1,1
145,IPC,354,1,1
146,BNS,115,1,1
147,BNS,318,1,1
148,IT,66D,1,1
149,BNS,115,1,1
150,IPC,379,1,1
151,IPC,354,1,1
152,BNS,303,1,1
153,BNS,331,1,1
154,IPC,323,1,1
155,IPC,323,1,1
156,BNS,115,1,1
157,BNS,303,1,1
158,IT,66C,1,1
159,IPC,468,1,1
160,IT,66C,1,1
161,BNS,303,1,1
162,IPC,354,1,1
163,MV,134,1,1
164,IT,66C,1,1
165,BNS,115,1,1
166,IPC,420,1,1
167,BNS,331,1,1
168,IT,66D,1,1
169,BNS,303,1,1
170,IT,66D,1,1
171,IPC,379,1,1
172,IT,66D,1,1
173,BNS,303,1,1
174,IPC,323,1,1
175,BNS,336,1,1
176,IT,67,1,1
177,NDPS,21,1,1
178,IT,66D,1,1
179,IPC,420,1,1
180,IPC,323,1,1
181,IPC,323,1,1
182,IPC,323,1,1
183,IT,66C,1,1
184,BNS,115,1,1
185,IT,66D,1,1
186,NDPS,21,1,1
187,IT,66D,1,1
188,BNS,303,1,1
189,IPC,420,1,1
190,BNS,318,1,1
191,BNS,115,1,1
192,IT,66D,1,1
193,IT,66D,1,1
194,IPC,379,1,1
195,IPC,420,1,1
196,NDPS,21,1,1
197,IT,67,1,1
198,BNS,318,1,1
199,IT,66D,1,1
200,IPC,379,1,1
201,BNS,309,1,1
202,IT,66D,1,1
203,IT,66D,1,1
204,IT,67,1,1
205,IT,66D,1,1
206,BNS,309,1,1
207,BNS,309,1,1
208,IT,66D,1,1
209,IPC,379,1,1
210,IT,66D,1,1
211,BNS,331,1,1
212,IPC,392,1,1
213,IPC,323,1,1
214,IPC,307,1,1
215,MV,134,1,1
216,IPC,457,1,1
217,IPC,457,1,1
218,IPC,379,1,1
219,MV,134,1,1
220,IPC,323,1,1
221,MV,134,1,1
222,IT,66C,1,1
223,IT,66C,1,1
224,BNS,303,1,1
225,BNS,318,1,1
226,IPC,379,1,1
227,IPC,354,1,1
228,BNS,331,1,1
229,IPC,354,1,1
230,IT,66D,1,1
231,IT,66C,1,1
232,BNS,115,1,1
233,IT,66C,1,1
234,IT,67,1,1
235,BNS,318,1,1
236,BNS,331,1,1
237,IT,66D,1,1
238,NDPS,20,1,1
239,IT,67,1,1
240,BNS,115,1,1
241,IT,66C,1,1
242,IPC,392,1,1
243,NDPS,21,1,1
244,IPC,379,1,1
245,IPC,379,1,1
246,IPC,420,1,1
247,IPC,323,1,1
248,IT,66D,1,1
249,NDPS,20,1,1
250,BNS,303,1,1
251,IPC,302,1,1
252,IPC,323,1,1
