ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2025-07-28,1,31,1302,5188,7031,2,1,0
2,3,2,2025-09-01,1,13,1121,5182,7013,4,1,0
3,5,2,2026-06-12,1,17,1167,5143,7017,7,1,0
4,6,1,2024-12-17,1,19,1189,5451,7019,10,1,0
5,8,1,2025-12-11,1,15,1142,5371,7015,15,1,0
6,13,1,2023-03-24,1,5,1041,5077,7005,21,1,0
7,16,1,2024-02-26,1,12,1113,5083,7012,28,1,0
8,17,1,2026-06-10,1,20,1195,5004,7020,29,1,0
9,17,1,2026-07-21,1,20,1195,5004,7020,30,1,0
10,20,1,2026-07-12,1,28,1275,5574,7028,34,1,0
11,21,1,2023-05-24,1,22,1214,5373,7022,35,1,0
12,22,1,2025-12-30,1,15,1143,5235,7015,36,1,0
13,23,2,2022-08-01,1,14,1133,5205,7014,38,1,0
14,24,1,2025-03-03,1,21,1209,5016,7021,41,1,0
15,28,1,2023-01-20,1,30,1295,5180,7030,48,1,0
16,31,1,2025-05-26,1,12,1120,5530,7012,53,1,0
17,31,1,2025-09-13,1,12,1120,5530,7012,52,1,0
18,36,1,2025-02-08,1,29,1290,5286,7029,59,1,0
19,36,1,2024-12-26,1,29,1290,5286,7029,60,1,0
20,37,1,2025-01-19,1,5,1042,5300,7005,61,1,0
21,38,2,2023-12-23,1,29,1289,5304,7029,63,1,0
22,41,2,2024-01-27,1,26,1257,5185,7026,69,1,0
23,46,1,2024-08-13,1,11,1108,5555,7011,77,1,0
24,46,2,2024-08-18,1,11,1108,5555,7011,76,1,0
25,49,1,2025-12-29,1,6,1055,5536,7006,80,1,0
26,50,2,2022-11-05,1,26,1255,5008,7026,81,1,0
27,51,1,2025-11-24,1,16,1159,5333,7016,83,1,0
28,52,2,2025-06-01,1,23,1227,5158,7023,84,1,0
29,55,2,2026-03-01,1,5,1042,5300,7005,87,1,0
30,57,1,2025-12-25,1,3,1021,5562,7003,90,1,0
31,58,2,2022-07-26,1,23,1229,5312,7023,91,1,0
32,59,1,2023-01-31,1,4,1035,5525,7004,92,1,0
33,62,1,2022-09-29,1,12,1118,5035,7012,96,1,0
34,63,1,2023-07-05,1,4,1031,5169,7004,97,1,0
35,64,1,2022-08-16,1,1,1006,5366,7001,98,1,0
36,65,1,2023-08-20,1,29,1283,5534,7029,99,1,0
37,66,1,2025-03-19,1,22,1217,5461,7022,101,1,0
38,67,2,2026-08-06,1,11,1101,5589,7011,102,1,0
39,69,1,2023-01-22,1,18,1178,5593,7018,104,1,0
40,70,1,2025-03-09,1,16,1156,5020,7016,105,1,0
41,71,1,2023-12-06,1,3,1028,5006,7003,106,1,0
42,72,1,2024-11-21,1,11,1102,5290,7011,107,1,0
43,73,1,2024-12-16,1,6,1052,5001,7006,108,1,0
44,74,1,2022-06-10,1,9,1081,5403,7009,109,1,0
45,76,1,2024-01-01,1,22,1218,5103,7022,113,1,0
46,76,1,2023-11-03,1,22,1218,5103,7022,111,1,0
47,77,2,2024-03-30,1,1,1008,5255,7001,115,1,0
48,81,1,2022-04-02,1,31,1303,5085,7031,125,1,0
49,84,1,2024-12-17,1,30,1293,5455,7030,129,1,0
50,87,1,2025-04-14,1,5,1046,5256,7005,133,1,0
51,90,2,2024-03-19,1,10,1094,5038,7010,137,1,0
52,92,1,2022-09-27,1,29,1287,5112,7029,140,1,0
53,94,1,2026-05-02,1,18,1176,5417,7018,143,1,0
54,95,1,2023-01-13,1,25,1245,5080,7025,146,1,0
55,96,1,2024-02-27,1,2,1014,5275,7002,147,1,0
56,96,1,2023-12-08,1,2,1014,5275,7002,148,1,0
57,97,1,2022-09-21,1,24,1234,5328,7024,149,1,0
58,102,2,2023-09-14,1,26,1259,5541,7026,157,1,0
59,103,2,2025-03-16,1,31,1301,5386,7031,158,1,0
60,105,1,2024-01-01,1,3,1030,5071,7003,160,1,0
61,109,2,2024-06-10,1,5,1049,5433,7005,167,1,0
62,110,1,2023-01-30,1,21,1205,5128,7021,169,1,0
63,110,1,2023-01-08,1,21,1205,5128,7021,170,1,0
64,112,1,2024-03-13,1,14,1133,5205,7014,173,1,0
65,113,1,2024-05-14,1,2,1018,5110,7002,174,1,0
66,117,2,2025-12-01,1,11,1110,5067,7011,180,1,0
67,118,2,2024-07-21,1,25,1247,5165,7025,182,1,0
68,120,1,2025-11-08,1,19,1188,5261,7019,184,1,0
69,121,1,2024-03-28,1,17,1169,5553,7017,185,1,0
70,122,1,2026-05-19,1,6,1057,5129,7006,186,1,0
71,126,1,2023-11-05,1,5,1050,5125,7005,194,1,0
72,128,2,2023-06-16,1,5,1045,5419,7005,196,1,0
73,131,1,2026-04-19,1,18,1171,5452,7018,200,1,0
74,132,1,2025-02-28,1,7,1063,5407,7007,201,1,0
75,133,1,2022-08-21,1,14,1138,5382,7014,204,1,0
76,134,1,2025-01-12,1,30,1297,5050,7030,207,1,0
77,135,2,2024-06-28,1,30,1300,5592,7030,208,1,0
78,137,1,2025-03-12,1,17,1167,5143,7017,210,1,0
79,138,1,2026-06-16,1,5,1043,5259,7005,212,1,0
80,139,2,2022-07-01,1,17,1161,5226,7017,215,1,0
81,141,2,2022-06-08,1,4,1040,5542,7004,218,1,0
82,141,2,2022-08-11,1,4,1040,5542,7004,217,1,0
83,142,1,2023-03-02,1,9,1087,5441,7009,221,1,0
84,142,1,2022-12-04,1,9,1087,5441,7009,220,1,0
85,145,1,2023-06-19,1,21,1203,5223,7021,225,1,0
86,147,1,2026-09-03,1,25,1245,5080,7025,227,1,0
87,151,2,2023-09-15,1,31,1305,5320,7031,232,1,0
88,156,1,2025-06-16,1,11,1104,5519,7011,240,1,0
89,157,1,2024-12-21,1,1,1009,5531,7001,241,1,0
90,159,1,2022-05-10,1,11,1102,5211,7011,244,1,0
91,160,2,2024-06-12,1,23,1224,5240,7023,245,1,0
92,160,1,2024-04-08,1,23,1224,5240,7023,246,1,0
93,162,1,2024-01-21,1,5,1044,5312,7005,250,1,0
94,163,1,2024-12-26,1,21,1207,5064,7021,251,1,0
95,165,1,2025-06-13,1,21,1208,5316,7021,256,1,0
96,166,1,2023-01-04,1,26,1251,5169,7026,258,1,0
97,167,1,2026-05-25,1,11,1106,5362,7011,260,1,0
98,167,1,2026-02-26,1,11,1106,5362,7011,261,1,0
99,168,1,2025-01-08,1,5,1050,5125,7005,262,1,0
100,169,1,2024-10-24,1,18,1176,5417,7018,263,1,0
101,174,2,2022-07-26,1,2,1015,5019,7002,270,1,0
102,176,1,2024-04-24,1,18,1174,5209,7018,273,1,0
103,176,2,2024-03-21,1,18,1174,5209,7018,272,1,0
104,177,1,2024-02-28,1,22,1219,5054,7022,274,1,0
105,178,1,2024-02-20,1,31,1309,5583,7031,275,1,0
106,179,1,2024-04-20,1,18,1177,5402,7018,277,1,0
107,180,2,2024-06-29,1,14,1133,5205,7014,278,1,0
108,182,2,2023-12-17,1,11,1109,5341,7011,280,1,0
109,184,1,2026-02-26,1,24,1233,5457,7024,282,1,0
110,185,1,2026-06-27,1,27,1261,5289,7027,283,1,0
111,186,2,2023-07-23,1,13,1127,5346,7013,284,1,0
112,187,1,2022-12-31,1,8,1078,5100,7008,285,1,0
113,189,1,2023-02-03,1,25,1243,5456,7025,289,1,0
114,191,2,2024-11-28,1,23,1222,5010,7023,292,1,0
115,192,1,2022-09-20,1,26,1252,5330,7026,293,1,0
116,197,2,2024-08-06,1,11,1110,5163,7011,299,1,0
117,200,2,2022-11-02,1,23,1226,5504,7023,304,1,0
118,201,2,2026-10-24,1,16,1156,5284,7016,305,1,0
119,203,1,2024-06-27,1,5,1047,5186,7005,308,1,0
120,204,1,2026-07-24,1,10,1095,5195,7010,309,1,0
121,206,2,2025-07-06,1,18,1174,5209,7018,313,1,0
122,206,1,2025-09-29,1,18,1174,5209,7018,311,1,0
123,208,1,2025-08-10,1,10,1096,5409,7010,316,1,0
124,209,1,2022-01-24,1,13,1126,5100,7013,318,1,0
125,210,2,2023-08-07,1,31,1307,5256,7031,319,1,0
126,211,1,2024-11-01,1,26,1253,5411,7026,320,1,0
127,212,2,2024-04-12,1,29,1283,5534,7029,321,1,0
128,213,1,2023-04-01,1,14,1137,5445,7014,323,1,0
129,214,1,2024-06-17,1,30,1300,5592,7030,324,1,0
130,215,1,2023-07-14,1,23,1226,5060,7023,325,1,0
131,219,1,2022-09-22,1,22,1211,5124,7022,329,1,0
132,220,1,2023-11-14,1,29,1285,5239,7029,330,1,0
133,222,2,2026-07-03,1,13,1128,5488,7013,334,1,0
134,224,1,2025-09-14,1,1,1007,5465,7001,339,1,0
135,225,1,2025-02-20,1,1,1003,5516,7001,342,1,0
136,227,1,2022-12-28,1,28,1271,5307,7028,347,1,0
137,228,2,2026-06-08,1,9,1088,5545,7009,348,1,0
