CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100311302202500001,202500001,2025-05-11,5188,1302,1,2,2,6,3,7031,2025-05-11 19:54:00,2025-05-11 22:02:00,2025-05-11 23:51:00,15.332012,76.474077,Vehicle Theft reported in Vijayanagara; registered at Vijayanagara Police Station 02. Synthetic demonstration record.
2,100071065202500001,202500001,2025-02-19,5400,1065,1,2,3,8,1,7007,2025-02-17 01:30:00,2025-02-17 02:46:00,2025-02-17 04:20:00,11.886494,76.95567,Domestic Violence reported in Chamarajanagar; registered at Chamarajanagar Police Station 05. Synthetic demonstration record.
3,100131121202500001,202500001,2025-06-15,5182,1121,1,2,2,7,2,7013,2025-06-13 03:42:00,2025-06-13 05:17:00,2025-06-13 06:42:00,15.426603,74.987385,House Theft reported in Dharwad; registered at Dharwad Police Station 01. Synthetic demonstration record.
4,100041031202200001,202200001,2022-08-06,5556,1031,1,2,7,18,1,7004,2022-08-04 19:23:00,2022-08-04 20:00:00,2022-08-04 20:46:00,13.280386,77.727642,Cheating reported in Bengaluru Rural; registered at Bengaluru Rural Police Station 01. Synthetic demonstration record.
5,100171167202600001,202600001,2026-05-03,5143,1167,1,2,6,16,5,7017,2026-05-03 10:17:00,2026-05-03 10:49:00,2026-05-03 11:53:00,17.367035,76.876849,Rioting reported in Kalaburagi; registered at Kalaburagi Police Station 07. Synthetic demonstration record.
6,100191189202400001,202400001,2024-10-19,5451,1189,1,2,5,14,2,7019,2024-10-18 14:20:00,2024-10-18 15:03:00,2024-10-18 16:59:00,13.154858,78.161511,NDPS Possession reported in Kolar; registered at Kolar Police Station 09. Synthetic demonstration record.
7,100301291202300001,202300001,2023-10-20,5306,1291,1,2,5,14,4,7030,2023-10-18 12:42:00,2023-10-18 13:06:00,2023-10-18 14:26:00,16.797711,77.156244,NDPS Possession reported in Yadgir; registered at Yadgir Police Station 01. Synthetic demonstration record.
8,100151142202500001,202500001,2025-12-10,5371,1142,1,2,4,11,2,7015,2025-12-10 14:32:00,2025-12-10 15:38:00,2025-12-10 17:34:00,13.021906,76.1157,Online Fraud reported in Hassan; registered at Hassan Police Station 02. Synthetic demonstration record.
9,100221212202300001,202300001,2023-11-08,5291,1212,1,1,1,2,1,7022,2023-11-06 02:35:00,2023-11-06 04:52:00,2023-11-06 06:43:00,12.239073,76.630512,Attempt to Murder reported in Mysuru; registered at Mysuru Police Station 02. Synthetic demonstration record.
10,100171165202500001,202500001,2025-01-30,5218,1165,1,2,4,13,1,7017,2025-01-29 09:46:00,2025-01-29 10:41:00,2025-01-29 12:13:00,17.329318,76.860535,Cyber Stalking reported in Kalaburagi; registered at Kalaburagi Police Station 05. Synthetic demonstration record.
