CaseMasterID,MOID,ConfidenceScore
1,5,0.93
2,6,0.94
3,1,0.77
4,8,0.78
5,6,0.76
6,10,0.89
7,10,0.9
8,3,0.78
9,9,0.75
10,3,0.85
11,6,0.87
12,5,0.73
13,3,0.89
14,7,0.95
15,2,0.73
16,6,0.92
17,9,0.76
18,8,0.8
19,10,0.83
20,8,0.84
21,9,0.87
22,9,0.78
23,2,0.88
24,6,0.82
25,9,0.81
26,6,0.75
27,3,0.74
28,4,0.89
29,10,0.83
30,9,0.8
31,9,0.84
32,9,0.93
33,2,0.75
34,5,0.91
35,8,0.89
36,8,0.83
37,5,0.81
38,9,0.83
39,9,0.95
40,8,0.79
41,6,0.91
42,1,0.89
43,9,0.95
44,8,0.96
45,10,0.92
46,9,0.85
47,1,0.87
48,6,0.9
49,8,0.8
50,9,0.9
51,3,0.84
52,6,0.88
53,6,0.82
54,3,0.9
55,4,0.94
56,9,0.93
57,9,0.8
58,6,0.78
59,7,0.74
60,4,0.93
61,3,0.95
62,9,0.79
63,8,0.72
64,4,0.86
65,6,0.86
66,7,0.76
67,10,0.94
68,9,0.92
69,9,0.87
70,4,0.91
71,5,0.75
72,3,0.74
73,7,0.91
74,6,0.83
75,9,0.91
76,6,0.91
77,9,0.74
78,4,0.95
79,9,0.85
80,1,0.84
81,8,0.83
82,4,0.87
83,7,0.9
84,9,0.82
85,6,0.78
86,8,0.82
87,9,0.83
88,3,0.88
89,9,0.78
90,1,0.78
91,7,0.87
92,7,0.75
93,3,0.9
94,8,0.79
95,7,0.82
96,6,0.78
97,8,0.83
98,6,0.94
99,7,0.8
100,6,0.9
101,1,0.94
102,4,0.85
103,7,0.88
104,6,0.74
105,4,0.85
106,9,0.93
107,1,0.82
108,4,0.91
109,8,0.77
110,4,0.88
111,9,0.74
112,6,0.77
113,9,0.74
114,6,0.79
115,1,0.94
116,6,0.73
117,10,0.82
118,9,0.93
119,8,0.81
120,6,0.8
121,9,0.81
122,8,0.92
123,6,0.83
124,5,0.91
125,10,0.93
126,6,0.91
127,5,0.86
128,9,0.78
129,1,0.73
130,4,0.93
131,8,0.84
132,4,0.91
133,7,0.75
134,1,0.91
135,4,0.88
136,4,0.85
137,6,0.93
138,9,0.78
139,1,0.86
140,10,0.75
141,9,0.75
142,3,0.87
143,6,0.87
144,3,0.93
145,9,0.74
146,6,0.9
147,8,0.83
148,4,0.9
149,6,0.95
150,5,0.97
151,9,0.89
152,9,0.9
153,1,0.77
154,6,0.92
155,6,0.79
156,6,0.77
157,7,0.78
158,4,0.95
159,8,0.91
160,3,0.87
161,7,0.92
162,9,0.83
163,9,0.93
164,3,0.87
165,6,0.73
166,8,0.86
167,7,0.88
