CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2025-09-18 14:23:00,A,5188
2,3,2025-12-24 03:12:00,A,5182
3,6,2024-12-01 14:57:00,B,5451
4,8,2026-06-19 11:05:00,A,5371
5,11,2023-01-30 00:39:00,B,5288
6,13,2023-05-18 19:03:00,A,5077
7,16,2024-04-17 23:44:00,A,5083
8,17,2026-09-01 14:44:00,A,5004
9,18,2026-03-17 08:50:00,A,5379
10,20,2026-06-16 04:52:00,A,5574
11,21,2023-08-15 03:01:00,A,5373
12,22,2026-05-03 01:43:00,B,5235
13,25,2022-05-26 10:05:00,A,5318
14,28,2022-12-24 00:21:00,A,5180
15,30,2023-05-27 20:07:00,A,5288
16,31,2025-08-31 03:03:00,A,5530
17,34,2025-05-13 10:56:00,A,5300
18,36,2025-04-05 19:38:00,C,5286
19,37,2025-05-16 15:03:00,B,5300
20,40,2025-05-23 05:14:00,A,5007
21,41,2024-02-26 02:49:00,B,5185
22,44,2026-07-23 15:02:00,A,5011
23,49,2026-04-15 05:53:00,A,5536
24,51,2026-02-16 09:37:00,C,5333
25,55,2025-12-29 03:42:00,A,5300
26,56,2025-01-09 19:28:00,A,5430
27,57,2026-01-19 08:25:00,A,5562
28,58,2022-10-18 01:36:00,A,5312
29,59,2023-02-09 15:39:00,B,5525
30,62,2023-03-24 00:59:00,A,5035
31,63,2023-05-27 07:19:00,B,5169
32,64,2023-02-25 19:51:00,A,5366
33,67,2026-05-26 21:55:00,C,5589
34,68,2025-08-16 07:45:00,A,5279
35,69,2023-01-24 00:00:00,B,5593
36,70,2025-05-27 03:34:00,C,5020
37,71,2024-02-03 15:12:00,B,5006
38,72,2025-03-21 17:47:00,C,5290
39,74,2022-12-29 13:26:00,A,5403
40,76,2024-01-16 16:02:00,A,5103
41,77,2024-04-17 18:52:00,A,5255
42,79,2024-11-30 08:42:00,A,5180
43,81,2022-08-09 08:00:00,A,5085
44,84,2024-11-11 02:01:00,B,5455
45,87,2025-02-13 13:55:00,A,5256
46,88,2024-02-01 01:11:00,A,5255
47,92,2022-12-22 00:26:00,A,5112
48,93,2024-11-12 16:48:00,A,5128
49,95,2023-05-01 16:16:00,A,5080
50,97,2022-12-20 04:09:00,A,5328
51,98,2024-05-04 19:14:00,A,5584
52,102,2024-02-02 15:03:00,A,5541
53,103,2025-02-17 09:37:00,C,5386
54,106,2024-03-20 00:35:00,A,5554
55,110,2023-04-03 23:07:00,A,5128
56,112,2024-09-07 09:47:00,C,5205
57,113,2024-03-26 23:50:00,A,5110
58,114,2026-06-03 08:46:00,A,5239
59,117,2025-10-13 12:48:00,B,5067
60,118,2024-10-14 01:07:00,B,5165
61,120,2026-02-07 09:29:00,A,5261
62,121,2024-07-01 19:22:00,C,5553
63,122,2026-08-07 00:00:00,A,5129
64,124,2025-02-06 10:57:00,A,5125
65,127,2025-08-01 15:41:00,A,5399
66,128,2023-08-21 01:24:00,A,5419
67,130,2026-03-25 03:00:00,A,5008
68,131,2026-07-10 12:39:00,A,5452
69,132,2025-06-15 03:14:00,A,5407
70,134,2025-01-26 10:04:00,A,5050
71,135,2024-08-07 00:37:00,A,5592
72,137,2025-08-22 17:21:00,A,5143
73,138,2026-07-12 08:32:00,A,5259
74,139,2022-07-13 08:56:00,A,5226
75,142,2023-05-25 06:24:00,B,5441
76,145,2023-07-15 11:47:00,C,5223
77,147,2026-11-17 16:06:00,A,5080
78,148,2022-06-25 15:50:00,A,5405
79,150,2022-07-12 11:48:00,A,5032
80,151,2024-01-25 10:52:00,B,5320
81,153,2025-12-03 03:28:00,C,5387
82,157,2025-02-20 06:04:00,A,5531
83,159,2022-08-03 00:42:00,A,5211
84,160,2024-04-17 18:13:00,A,5240
85,165,2025-10-20 10:28:00,A,5316
86,167,2026-05-13 07:43:00,A,5362
87,169,2025-04-01 06:47:00,A,5417
88,170,2026-10-15 07:24:00,A,5085
89,171,2022-10-11 01:43:00,A,5300
90,173,2025-06-28 01:07:00,A,5481
91,175,2024-10-25 11:33:00,A,5180
92,176,2024-02-25 08:12:00,C,5209
93,178,2024-05-21 05:43:00,A,5583
94,179,2024-08-09 12:07:00,A,5402
95,187,2023-03-01 08:43:00,A,5100
96,189,2023-02-15 06:35:00,A,5456
97,190,2025-11-18 02:17:00,A,5503
98,191,2025-05-04 15:10:00,A,5010
99,192,2022-11-20 11:02:00,A,5330
