CourtID,CourtName,DistrictID,StateID,Active
7001,"District and Sessions Court, Bagalkot",1,1,1
7002,"District and Sessions Court, Ballari",2,1,1
7003,"District and Sessions Court, Belagavi",3,1,1
7004,"District and Sessions Court, Bengaluru Rural",4,1,1
7005,"District and Sessions Court, Bengaluru Urban",5,1,1
7006,"District and Sessions Court, Bidar",6,1,1
7007,"District and Sessions Court, Chamarajanagar",7,1,1
7008,"District and Sessions Court, Chikkaballapur",8,1,1
7009,"District and Sessions Court, Chikkamagaluru",9,1,1
7010,"District and Sessions Court, Chitradurga",10,1,1
7011,"District and Sessions Court, Dakshina Kannada",11,1,1
7012,"District and Sessions Court, Davanagere",12,1,1
7013,"District and Sessions Court, Dharwad",13,1,1
7014,"District and Sessions Court, Gadag",14,1,1
7015,"District and Sessions Court, Hassan",15,1,1
7016,"District and Sessions Court, Haveri",16,1,1
7017,"District and Sessions Court, Kalaburagi",17,1,1
7018,"District and Sessions Court, Kodagu",18,1,1
7019,"District and Sessions Court, Kolar",19,1,1
7020,"District and Sessions Court, Koppal",20,1,1
7021,"District and Sessions Court, Mandya",21,1,1
7022,"District and Sessions Court, Mysuru",22,1,1
7023,"District and Sessions Court, Raichur",23,1,1
7024,"District and Sessions Court, Ramanagara",24,1,1
7025,"District and Sessions Court, Shivamogga",25,1,1
7026,"District and Sessions Court, Tumakuru",26,1,1
7027,"District and Sessions Court, Udupi",27,1,1
7028,"District and Sessions Court, Uttara Kannada",28,1,1
7029,"District and Sessions Court, Vijayapura",29,1,1
7030,"District and Sessions Court, Yadgir",30,1,1
7031,"District and Sessions Court, Vijayanagara",31,1,1
